time,symbol,action,volume,entry,exit,pnl
2024-01-05 06:00:00+00:00,EURUSD,BUY,0.1,1.09675,1.09276,-39.89999999999938
2024-01-09 11:00:00+00:00,EURUSD,BUY,0.1,1.09392,1.09314,-7.80000000000003
2024-01-11 16:00:00+00:00,EURUSD,BUY,0.1,1.09459,1.09423,-3.59999999999916
2024-01-12 12:00:00+00:00,EURUSD,BUY,0.1,1.09796,1.09377,-41.900000000001384
2024-01-18 16:00:00+00:00,EURUSD,BUY,0.1,1.08938,1.08618,-32.00000000000092
2024-01-22 16:00:00+00:00,EURUSD,BUY,0.1,1.08808,1.08938,13.00000000000079
2024-01-23 14:00:00+00:00,EURUSD,BUY,0.1,1.09083,1.08526,-55.70000000000075
2024-01-25 04:00:00+00:00,EURUSD,BUY,0.1,1.09027,1.08754,-27.300000000001212
2024-01-29 02:00:00+00:00,EURUSD,BUY,0.1,1.08641,1.08435,-20.600000000001728
2024-01-31 05:00:00+00:00,EURUSD,BUY,0.1,1.08305,1.08204,-10.100000000001774
2024-02-01 00:00:00+00:00,EURUSD,BUY,0.1,1.08613,1.08081,-53.19999999999992
2024-02-02 16:00:00+00:00,EURUSD,BUY,0.1,1.08698,1.07861,-83.69999999999989
2024-02-08 14:00:00+00:00,EURUSD,BUY,0.1,1.07566,1.07647,8.099999999999774
2024-02-09 12:00:00+00:00,EURUSD,BUY,0.1,1.07729,1.07672,-5.700000000001815
2024-02-12 13:00:00+00:00,EURUSD,BUY,0.1,1.07831,1.07638,-19.300000000002097
2024-02-19 16:00:00+00:00,EURUSD,BUY,0.1,1.07269,1.07698,42.90000000000127
2024-02-21 13:00:00+00:00,EURUSD,BUY,0.1,1.07983,1.081,11.699999999998935
2024-02-22 20:00:00+00:00,EURUSD,BUY,0.1,1.08181,1.08217,3.60000000000138
2024-02-25 22:00:00+00:00,EURUSD,BUY,0.1,1.08274,1.08227,-4.699999999999705
2024-02-27 19:00:00+00:00,EURUSD,BUY,0.1,1.08478,1.08442,-3.60000000000138
2024-02-29 17:00:00+00:00,EURUSD,BUY,0.1,1.0838,1.07998,-38.200000000001566
2024-03-05 07:00:00+00:00,EURUSD,BUY,0.1,1.0831,1.08463,15.300000000000315
2024-03-10 22:00:00+00:00,EURUSD,BUY,0.1,1.08575,1.09375,80.00000000000009
2024-03-11 09:00:00+00:00,EURUSD,BUY,0.1,1.09445,1.09346,-9.899999999998244
2024-03-11 12:00:00+00:00,EURUSD,BUY,0.1,1.09429,1.09294,-13.499999999999623
2024-03-12 13:00:00+00:00,EURUSD,BUY,0.1,1.09319,1.09107,-21.20000000000122
2024-03-14 10:00:00+00:00,EURUSD,BUY,0.1,1.09232,1.09395,16.300000000000203
2024-03-18 18:00:00+00:00,EURUSD,BUY,0.1,1.08837,1.0871,-12.700000000001044
2024-03-20 11:00:00+00:00,EURUSD,BUY,0.1,1.08616,1.08425,-19.100000000000783
2024-03-21 16:00:00+00:00,EURUSD,BUY,0.1,1.09209,1.08608,-60.10000000000071
2024-03-26 19:00:00+00:00,EURUSD,BUY,0.1,1.08179,1.08286,10.699999999999044
2024-04-01 10:00:00+00:00,EURUSD,BUY,0.1,1.07881,1.07813,-6.800000000000139
2024-04-05 00:00:00+00:00,EURUSD,BUY,0.1,1.07689,1.08416,72.70000000000111
2024-04-08 12:00:00+00:00,EURUSD,BUY,0.1,1.08297,1.08341,4.3999999999999595
2024-04-09 22:00:00+00:00,EURUSD,BUY,0.1,1.08516,1.08586,7.0000000000014495
