time,balance
2024-01-01 22:00:00+00:00,10000.0
2024-01-08 02:00:00+00:00,9960.1
2024-01-12 06:00:00+00:00,9948.700000000003
2024-01-18 10:00:00+00:00,9906.800000000001
2024-01-24 14:00:00+00:00,9832.099999999999
2024-01-30 18:00:00+00:00,9784.199999999995
2024-02-05 22:00:00+00:00,9637.199999999992
2024-02-12 02:00:00+00:00,9639.59999999999
2024-02-16 06:00:00+00:00,9620.299999999987
2024-02-22 10:00:00+00:00,9674.899999999987
2024-02-28 14:00:00+00:00,9670.199999999988
2024-03-05 18:00:00+00:00,9647.299999999988
2024-03-11 21:00:00+00:00,9703.89999999999
2024-03-18 01:00:00+00:00,9698.99999999999
2024-03-22 05:00:00+00:00,9607.09999999999
2024-03-28 09:00:00+00:00,9617.799999999988
2024-04-03 13:00:00+00:00,9610.999999999989
2024-04-09 17:00:00+00:00,9688.09999999999
2024-04-15 21:00:00+00:00,9666.299999999992
2024-04-22 01:00:00+00:00,9655.099999999993
2024-04-26 05:00:00+00:00,9657.799999999994
2024-05-02 09:00:00+00:00,9618.499999999995
2024-05-08 13:00:00+00:00,9699.799999999994
2024-05-14 17:00:00+00:00,9690.499999999993
2024-05-20 21:00:00+00:00,9755.69999999999
2024-05-27 01:00:00+00:00,9711.499999999989
2024-05-31 05:00:00+00:00,9717.199999999988
2024-06-06 09:00:00+00:00,9700.599999999986
2024-06-12 13:00:00+00:00,9593.599999999984
2024-06-18 17:00:00+00:00,9628.699999999983
2024-06-24 21:00:00+00:00,9642.399999999983
2024-07-01 01:00:00+00:00,9635.999999999985
2024-07-05 05:00:00+00:00,9664.999999999984
2024-07-11 09:00:00+00:00,9729.199999999984
2024-07-17 13:00:00+00:00,9798.899999999983
2024-07-23 17:00:00+00:00,9789.499999999982
2024-07-29 21:00:00+00:00,9777.699999999983
2024-08-05 01:00:00+00:00,9750.89999999998
2024-08-09 05:00:00+00:00,9841.79999999998
2024-08-15 09:00:00+00:00,9925.49999999998
2024-08-21 13:00:00+00:00,9925.49999999998
2024-08-27 17:00:00+00:00,10035.199999999979
2024-09-02 21:00:00+00:00,10001.599999999979
2024-09-09 01:00:00+00:00,10013.999999999978
2024-09-13 05:00:00+00:00,9987.399999999978
2024-09-19 09:00:00+00:00,10047.099999999979
2024-09-25 13:00:00+00:00,10033.999999999976
2024-10-01 17:00:00+00:00,9986.599999999979
2024-10-07 21:00:00+00:00,9986.599999999979
2024-10-14 01:00:00+00:00,9960.69999999998
2024-10-18 05:00:00+00:00,9960.69999999998
2024-10-24 09:00:00+00:00,9971.39999999998
2024-10-30 13:00:00+00:00,9970.699999999977
2024-11-05 18:00:00+00:00,9997.099999999977
2024-11-11 22:00:00+00:00,9860.499999999976
2024-11-18 02:00:00+00:00,9787.399999999976
2024-11-22 06:00:00+00:00,9745.399999999976
2024-11-28 10:00:00+00:00,9694.099999999975
2024-12-04 14:00:00+00:00,9689.199999999973
2024-12-10 18:00:00+00:00,9700.599999999975
2024-12-16 22:00:00+00:00,9689.399999999972
2024-12-23 02:00:00+00:00,9644.999999999973
2024-12-27 20:00:00+00:00,9626.899999999974
2024-12-31 21:00:00+00:00,9630.399999999972
